client_id,latency_ms,memory_spike_mb
3,2605.320692062378,2.4921875
2,2582.3707580566406,2.703125
4,2479.2802333831787,3.36328125
1,2476.5686988830566,2.8828125
0,2378.1349658966064,3.2890625
2,2425.1391887664795,2.359375
3,2502.833843231201,2.8203125
4,2220.933675765991,3.82421875
1,2239.7220134735107,3.484375
0,2250.3037452697754,2.39453125
2,2260.946273803711,2.70703125
3,2280.103921890259,2.328125
1,787.8694534301758,2.3828125
4,2102.787971496582,3.3984375
0,2130.357265472412,2.39453125
3,2104.720115661621,2.69921875
2,2133.4307193756104,2.6796875
1,2018.437385559082,2.5234375
4,2021.8608379364014,2.81640625
0,2081.003427505493,2.375
3,2144.6692943573,3.06640625
2,2150.552272796631,2.671875
1,2032.2115421295166,2.39453125
4,2129.7945976257324,2.39453125
0,2155.2486419677734,3.84375
2,2129.0411949157715,2.0546875
3,2149.51229095459,2.046875
1,2173.1417179107666,1.98828125
4,2400.4220962524414,2.39453125
0,2304.920434951782,3.2890625
3,2329.4711112976074,2.328125
2,2412.1627807617188,2.71484375
1,2402.784585952759,2.69921875
0,2656.965494155884,2.32421875
4,2836.228132247925,3.78125
3,2802.978754043579,4.265625
2,2869.8692321777344,3.83203125
1,2847.0828533172607,2.69921875
0,2464.0283584594727,2.41796875
4,2685.326099395752,4.796875
3,2644.4318294525146,3.03515625
2,2598.6664295196533,3.26171875
1,2558.5687160491943,2.69921875
0,2677.3557662963867,2.39453125
4,2575.2503871917725,3.3984375
3,2556.3549995422363,1.46484375
